ZIP,County,Special area,Latitude,Longitude,Population,Age <18,Age 65+,Housing Units,Built 1979 or earlier,Built 1939 or earlier,under 5,5 to  9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85+,Median age,Sex ratio,Age dependency ratio,White,Black,American Indian,Asian,Hispanic/Latino,Race-Ethnicity Diversity Index,Native,Foreign born,Non-citizens,Cancer incidence,Breast cancer incidence,Cervical cancer incidence,Colorectal cancer incidence,Leukemia and lymphoma incidence,Lung cancer incidence,Prostate cancer incidence,Oral cancer incidence,Crowded housing,Speak Spanish at home,Speak English poorly,Male,Female,"Poverty rate, families","Poverty rate, families with children","Poverty rate, families with children <5",Poverty rate,Poverty rate <5,Child poverty rate,Working-age adult poverty rate,Elderly poverty rate,Household poverty rate,Labor force participation,Unemployment,High school graduation rate,College graduation rate,Per capita income,Walk Score,Hardship Index,Gini index of income inequality
62808,Washington County|Jefferson County,,38.30618,-89.188699,1529,24.33,9.287,711,58.931,19.691,5.101,7.521,8.437,6.802,6.475,4.971,7.783,5.167,5.559,11.118,7.783,7.521,6.475,3.728,2.551,0.327,1.308,1.373,39,97,50.6,96.07586658,0,0,0,2.223675605,0.076218186,98.8881622,1.111837802,1.111837802,493.67,72.21,*,82.81,35.34,69.68,80.03,*,1.145662848,2.067539628,0.620261888,49.24787443,50.75212557,6.451612903,5.70719603,1.488833747,,,,,,6.451612903,75.5,4.415011038,91.23505976,17.82868526,27167,,36.79688284,0.3943
62809,Wayne County,,38.268646,-88.290948,87,4.598,22.989,66,80.303,30.303,0,0,0,4.598,0,4.598,8.046,0,3.448,0,16.092,18.391,21.839,3.448,6.897,0,0,12.644,57,107.1,38.1,100,0,0,0,0,0,100,0,0,359.92,*,*,*,*,*,*,0,0,0,0,51.72413793,48.27586207,0,0,0,,,,,,0,58.62068966,5.882352941,95.18072289,20.48192771,31748,,,0.3243
62810,Jefferson County,,38.201276,-88.752318,992,32.056,18.044,380,49.737,13.421,10.685,7.863,10.181,7.258,3.931,6.25,3.931,4.335,3.528,5.343,7.964,7.46,3.226,3.931,5.04,2.319,3.528,3.226,34.9,93.8,100.4,96.97580645,0,0,0,2.822580645,0.058768535,99.89919355,0.100806452,0,424.25,46.44,0,82.39,*,33.55,69.79,*,5.621301775,0.225733634,0.564334086,48.38709677,51.61290323,13.43873518,10.27667984,3.95256917,,,,,,13.43873518,59.62910128,6.220095694,87.24832215,18.12080537,24730,,57.52090628,0.4657
62811,Wabash County,,38.38297,-87.905586,193,22.28,25.389,114,58.772,19.298,7.254,8.808,3.109,4.145,3.109,8.29,4.663,4.145,2.073,7.254,4.663,9.845,7.254,4.145,6.736,2.591,6.736,5.181,46.5,105.3,91.1,100,0,0,0,0,0,100,0,0,623.16,*,0,*,*,146.93,*,*,2.247191011,0.558659218,0.558659218,51.29533679,48.70466321,16.66666667,14.81481481,9.259259259,,,,,,16.66666667,46.15384615,6.944444444,79.57746479,4.225352113,19020,0,58.60327799,0.3615
62812,Franklin County,,37.997347,-88.916946,11263,22.108,19.489,5254,68.786,21.641,6.117,6.908,5.309,7.254,5.816,4.617,6.171,5.096,6.251,5.043,6.854,8.088,6.987,6.552,3.694,3.551,3.01,2.681,41.9,94.6,71.2,94.9125455,0.257480245,0,0.266358874,2.947704874,0.098017133,99.00559354,0.994406464,0.603746781,489.96,62.84,9.19,58.95,31.96,86.33,58.31,11.94,2.364574377,1.673917155,0.633629658,48.60161591,51.39838409,16.59482759,13.64942529,4.346264368,,,,,,16.59482759,55.29994496,11.38535032,86.4483562,17.31814652,22832,65,53.09393575,0.4488
62814,Jefferson County,,38.378397,-88.731915,1967,24.25,15.658,830,54.94,20.241,6.406,6.355,5.796,7.575,4.881,5.948,5.491,6.406,5.084,9.659,9.964,5.592,5.186,6.05,3.864,2.644,2.237,0.864,41.1,88.6,66.4,97.25470259,0,0.254194204,0.254194204,0.254194204,0.053739782,98.8815455,1.118454499,0.203355363,497.99,67.46,*,41.73,25.46,70.98,84.41,*,2.370990237,0.217273221,0.271591526,46.97508897,53.02491103,8.765652952,7.334525939,1.073345259,,,,,,8.765652952,62.33766234,9.6875,88.13559322,10.02210759,21631,,48.16887669,0.3606
62815,Edwards County,,38.458352,-87.96644,402,21.642,16.667,182,69.78,28.571,1.741,8.209,4.975,8.955,0.746,1.493,2.985,8.955,7.463,9.95,8.706,8.955,10.199,7.214,5.224,2.985,0.249,0.995,47.1,66.1,62.1,99.75124378,0,0,0,0.248756219,0.004962748,100,0,0,529.84,*,0,*,*,89.88,*,0,1.775147929,0.253164557,0,39.80099502,60.19900498,1.754385965,0,0,,,,,,1.754385965,70.27863777,7.929515419,85.14851485,7.920792079,21695,,45.09887411,0.328
62816,Jefferson County,,38.189765,-88.922922,1430,18.741,17.972,680,57.647,8.971,6.084,4.056,6.573,4.196,6.224,3.986,5.804,3.706,7.902,6.014,11.678,8.462,7.343,6.364,4.056,3.287,3.007,1.259,45.5,126.6,58,98.39160839,0,0,0.13986014,0.979020979,0.031787373,99.86013986,0.13986014,0,547.56,59.84,*,53.77,48.27,80.39,84.18,*,1.098901099,0.074460164,0,55.87412587,44.12587413,7.328605201,2.600472813,0,,,,,,7.328605201,60.66270178,6.162464986,87.23608445,9.404990403,24178,,42.4154588,0.3944
62817,Hamilton County,,37.954474,-88.476107,685,32.117,15.474,307,65.472,19.87,11.679,2.92,12.993,6.569,3.796,5.401,5.839,1.168,5.401,3.504,7.007,7.445,10.803,0.292,8.467,3.504,0.146,3.066,36.6,93,90.8,98.97810219,0,0,0,0,0.020229101,100,0,0,461.86,59.1,*,53.3,*,76.72,46.69,*,6.374501992,0,0,48.17518248,51.82481752,36.45833333,31.25,13.02083333,,,,,,36.45833333,46.73469388,7.423580786,83.29411765,8.235294118,20953,,68.61194522,0.4935
62818,Edwards County|Wabash County,,38.383278,-87.965346,297,15.152,14.815,125,77.6,17.6,4.04,6.734,2.02,2.694,10.438,1.347,7.407,2.02,2.694,4.377,14.478,10.774,16.162,5.387,3.03,4.714,1.01,0.673,53.3,110.6,42.8,98.31649832,0,0,0,0,0.033103198,100,0,0,523.16,*,*,*,*,*,*,*,0,2.105263158,0,52.52525253,47.47474747,1.111111111,0,0,,,,,,1.111111111,66.40926641,6.976744186,84.54545455,2.727272727,23622,,37.61131197,0.3225
